[2024-10-10 12:55:41,570: INFO: main: Welcome]
[2024-10-10 13:04:52,883: INFO: main: Welcome]
[2024-10-10 22:06:15,469: INFO: main: >>>>>> stage Main Pipeline started <<<<<<]
[2024-10-10 22:06:15,470: INFO: common: yaml file: C:\dev\ml\projects\MLOPS_Project\config\config.yaml loaded successfully]
[2024-10-10 22:06:15,471: INFO: common: yaml file: C:\dev\ml\projects\MLOPS_Project\params.yaml loaded successfully]
[2024-10-10 22:06:15,471: INFO: common: created directory at: artifacts]
[2024-10-10 22:06:15,473: INFO: common: created directory at: C:\dev\ml\projects\MLOPS_Project\artifacts\data_ingestion]
[2024-10-10 22:06:15,473: INFO: data_ingestion: Downloading TRAIN DATASET from: http://saliencydetection.net/duts/download/DUTS-TR.zip]
[2024-10-11 00:41:51,034: INFO: common: yaml file: C:\dev\ml\projects\MLOPS_Project\config\config.yaml loaded successfully]
[2024-10-11 00:41:51,037: INFO: common: yaml file: C:\dev\ml\projects\MLOPS_Project\params.yaml loaded successfully]
[2024-10-11 00:41:51,037: INFO: common: created directory at: artifacts]
[2024-10-11 00:41:51,038: INFO: common: created directory at: C:\dev\ml\projects\MLOPS_Project\artifacts\data_ingestion]
